Title,Genre,Year,IMDb Rating,Director
The Shawshank Redemption,Drama,1994,9.3,Frank Darabont
The Godfather,Crime,1972,9.2,Francis Ford Coppola
The Dark Knight,Action,2008,9.0,Christopher Nolan
Pulp Fiction,Crime,1994,8.9,Quentin Tarantino
Forrest Gump,Drama,1994,8.8,Robert Zemeckis
Inception,Sci-Fi,2010,8.8,Christopher Nolan
Fight Club,Drama,1999,8.8,David Fincher
The Matrix,Sci-Fi,1999,8.7,The Wachowskis
The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,8.8,Peter Jackson
Star Wars: Episode IV - A New Hope,Sci-Fi,1977,8.6,George Lucas
